street_number,latitude,longitude,name_and_business,icon
428,-31.94378164,115.8627917,"Aftons Soft Furnishings, Furnishings drapery retailers",icon_1949
311,-31.94642571,115.8605475,American Drycleaners,icon_1949
193,-31.94924855,115.858964,"Anastasas M, fruitier",icon_1949
243,-31.94810804,115.8596472,"Athanasou M D, Fruitier",icon_1949
206,-31.94912718,115.8596319,Bank of NSW,icon_1949
319,-31.94620335,115.8606847,"Barnard Arthur, Fruitier and Confectioner",icon_1949
220,-31.94866627,115.8597278,"Beckman B, dealer",icon_1949
425,-31.94383742,115.862405,"Belestis Lou, Grocer",icon_1949
342,-31.94589898,115.8616821,"Bennett A S, wicker worker",icon_1949
385,-31.94443883,115.8617009,"Berryman Mrs Annie, Clothes repairer",icon_1949
358,-31.94544427,115.8617538,"Bishop A E, hairdresser and tob",icon_1949
289,-31.94683119,115.8602775,Black & White Fruitiers,icon_1949
335,-31.94568661,115.8610444,Blue Room Cabaret and Milk Bar,icon_1949
191,-31.94921084,115.8587564,"Boxhorn A R, watchmaker and jeweller ",icon_1949
247,-31.94779455,115.8596969,"Britannia Bootmakers, Boot Repairers",icon_1949
253,-31.94776862,115.8599617,Britannia Coffee Palace,icon_1949
255,-31.9476946,115.8598678,Britannia Coffee Palace,icon_1949
257,-31.94760683,115.8598396,Britannia Coffee Palace,icon_1949
394,-31.94462709,115.8622517,"Bucci M & J, Mix business",icon_1949
396,-31.94467989,115.8623864,"Bucci M & J, Mix business",icon_1949
456,-31.94330654,115.8632512,"Campbell Reg, bicycle dealer",icon_1949
383,-31.94459605,115.861795,"Cassidy Mrs Alice, Mixed Business",icon_1949
291,-31.9469162,115.8604691,Champion Butchers,icon_1949
315,-31.94636043,115.8606344,"Christine Beauty Salon, ladies hairdresser",icon_1949
272,-31.94758571,115.8606067,"Christo P P, tailor",icon_1949
246,-31.94806741,115.860118,City Electric Co. elec contractors,icon_1949
430,-31.94395913,115.8630993,"City Towel Supply Co., laundry",icon_1949
177,-31.94949806,115.8585097,"Clifton Hardware Co., hardware dealers",icon_1949
229,-31.94844319,115.8595764,"Clonzas G, Grocer",icon_1949
459,-31.94292947,115.862966,"Curran M R, Boot Repairer",icon_1949
271,-31.9473071,115.8599129,"De Ceglic Glovanni, Hairdresser",icon_1949
207,-31.94887026,115.8592546,"Dean Abdul M, Herbalist",icon_1949
189,-31.94923865,115.8586692,Dermer's Newsagency,icon_1949
314,-31.94656903,115.8611818,"Devine Jno, second hand dealer",icon_1949
316,-31.94649585,115.8612172,"Devine Jno, second hand dealer",icon_1949
187,-31.94944527,115.8587148,"Dimanoff Andrea V, fish monger ",icon_1949
269,-31.94740264,115.8600358,"Dorigo Jno, Tailor",icon_1949
352,-31.94566805,115.8619533,Dow Pty Ltd Electrical engineers,icon_1949
261,-31.94753858,115.8598932,"Duduman A, Tailor",icon_1949
310,-31.94673274,115.8611876,"Dzienclol G, upholsterer ",icon_1949
245,-31.94790057,115.8597413,"Enright Mrs A, Wine Saloon",icon_1949
338,-31.94589333,115.8615139,"Evans F E, watchmaker; Bastian Mrs L, laundry",icon_1949
195,-31.94920109,115.8588771,"Franchina C, Furniture mfr",icon_1949
387,-31.94450773,115.8618146,"Frankina Mrs O, Dressmaker",icon_1949
280,-31.94743696,115.8606579,Frost H P Scientific inst maker,icon_1949
231,-31.94829655,115.859481,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_1949
201,-31.94911609,115.8590955,"Georges & Christo, Mixed Businesses; Symonds Edwin, and plant mchnt",icon_1949
307,-31.94653843,115.8606502,George's Furniture and Hardware,icon_1949
223,-31.94844474,115.8592411,George's Tailoring Co. ,icon_1949
434,-31.94377496,115.8630098,"Globe furniture Co., store room; Rear: Alpha Products, cardboard box mfr; Ava Confections, confrs mfg",icon_1949
260,-31.94779306,115.8604792,Graham J H Tent mkr,icon_1949
209,-31.94879218,115.8590149,Great Western Hotel,icon_1949
388,-31.94488685,115.8625181,"Hamilton G C, mix business",icon_1949
390,-31.94474722,115.8622209,"Hamilton G C, mix business",icon_1949
389,-31.94461451,115.8619566,"Hamilton G C, mix business; Roberts Alex Bookseller and Library",icon_1949
239,-31.948225,115.8596079,"Hassett Richard J, Newsagent",icon_1949
273,-31.94731009,115.8600155,"Italiano A, Tailor",icon_1949
287,-31.94692308,115.8602985,Jubilee Cafe,icon_1949
