street_number,latitude,longitude,name_and_business,icon
204,-31.94910508,115.8594716,"Mary A Daniels Furniture Dealer; Jas Wilson; William Daniels, Carrier",icon_1920
419,-31.9438381,115.8621986,Matthew Knight,icon_1920
418,-31.94407336,115.862758,Michael Pascoe,icon_1920
249,-31.94787514,115.8598954,Miss A Purcell. Small goods,icon_1920
452,-31.94322058,115.8631956,Miss D Horn. Drapery And Hardware,icon_1920
459,-31.94292947,115.862966,"Miss E B Anderson, Storekeeper; Savings Bank Agency, (Miss E B Anderson Agent)",icon_1920
246,-31.94806741,115.860118,Miss I Wiggins Dressmaker,icon_1920
231,-31.94829655,115.859481,Miss M McCradden. Lodging House,icon_1920
356,-31.94562702,115.8620512,"Misses C & S O'Neill, Fancy Goods",icon_1920
427,-31.94347402,115.8624159,Mohammedan Mosque (Ayar Mohamed),icon_1920
402,-31.94458595,115.8626655,Mrs A J Dornan. News Agent,icon_1920
375,-31.94445587,115.8613931,Mrs A M Cocking,icon_1920
457,-31.94292954,115.8627757,Mrs A Norman,icon_1920
221,-31.94854888,115.859505,"Mrs A Rickard, Dressmaker",icon_1920
389,-31.94461451,115.8619566,Mrs A Turrell. Confectioner,icon_1920
370,-31.9453465,115.8622288,Mrs A Ward,icon_1920
236,-31.94846629,115.8601242,Mrs B H Curtis. Confectioner,icon_1920
407,-31.94414083,115.8621828,Mrs B M Vowles,icon_1920
377,-31.94479557,115.8617859,Mrs B Truscott,icon_1920
433,-31.94331671,115.8625415,Mrs C J Stodart,icon_1920
214,-31.94889152,115.8597856,Mrs C Penny. Lodging house,icon_1920
182,-31.94961182,115.8591643,Mrs C Stephens Fruitier and Confectioner,icon_1920
420,-31.94415103,115.862895,Mrs Charlotte Simmons,icon_1920
382,-31.94503476,115.8624297,Mrs Clara Johnson. Lodging House,icon_1920
186,-31.94964478,115.8593823,Mrs E Cousins Wine Saloon,icon_1920
397,-31.94431133,115.8619698,Mrs E Gibson,icon_1920
239,-31.948225,115.8596079,Mrs E Griffiths. Stationer,icon_1920
