street_number,latitude,longitude,name_and_business,icon
217,-31.94864721,115.8593911,A. Picone. Fruiterer,icon_1908
183,-31.94951054,115.8586061,"Akhurst __, Confectioner",icon_1908
195,-31.94920109,115.8588771,Albert Weaver. Bootmaker,icon_1908
257,-31.94760683,115.8598396,"Alex Patman, Wine Saloon",icon_1908
210,-31.94894959,115.8596304,Alfred E Apps,home
424,-31.94403318,115.8629041,Alfred E French,home
391,-31.94448515,115.861924,"Alfred Meek, Bootmaker",icon_1908
413,-31.94410309,115.8622781,Allen Dick. Fruiterer,icon_1908
206,-31.94912718,115.8596319,Angelo Kouvaras. Fruiterer & Confectioner,icon_1908
237,-31.94815173,115.8594664,Arthur G Marflett. Land Agent,icon_1908
340,-31.94597423,115.8615846,"Arthur Geddes, House  & Land agent",icon_1908
381,-31.94435912,115.8615262,B Roffman,home
310,-31.94673274,115.8611876,"Ben Jones, Shoemaker",icon_1908
312,-31.94659069,115.8610531,"Ben Jones, Shoemaker",icon_1908
415,-31.94394138,115.8621929,Bernhardt Santinover. Picture Frame Maker,icon_1908
253,-31.94776862,115.8599617,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1908
255,-31.9476946,115.8598678,Britannia Coffee Palace. D. Bevan & W. Johns (proprietors),icon_1908
372,-31.94516584,115.8619659,C. E. Green,home
200,-31.94924329,115.8594237,"Caird, George. Fruiterer & Confectioner",icon_1908
188,-31.94951261,115.8592134,Ceaser & Beel. Confers,icon_1908
295,-31.94670076,115.8605385,Chas H Nielson,home
334,-31.9460755,115.8615023,Chas Sullivan,home
414,-31.94425214,115.8628364,Chas. H Dorney,home
339,-31.94563271,115.8612673,Currie Bros. Dairymen,icon_1908
215,-31.94860366,115.8592193,D. H Lillingston. Watchmaker & Jeweller,icon_1908
202,-31.94926489,115.8596251,"David Rosen, pawnbroker",icon_1908
407,-31.94414083,115.8621828,David Wimbridge,home
178,-31.94968645,115.8591091,Davies-Franklin Cycle Agency. Alfred Craig (manager) ,icon_1908
418,-31.94407336,115.862758,E. T. Wade,home
229,-31.94844319,115.8595764,Edward Moss. Phrenologist,icon_1908
441,-31.94336932,115.8627794,Ernest Evans,home
394,-31.94462709,115.8622517,Ernest T Sara,icon_1908
396,-31.94467989,115.8623864,"Ernest T Sara, Grocer",icon_1908
322,-31.94624854,115.8613088,F Barker Fruiterer & Confectioner,icon_1908
324,-31.9462814,115.8615707,F Barker Fruiterer & Confectioner,icon_1908
459,-31.94292947,115.862966,F. A Provost. Chemist,icon_1908
182,-31.94961182,115.8591643,Forster & Bowmann. Contractors & Decorators,icon_1908
449,-31.9431105,115.8626592,Fred Holmann,home
263,-31.94758099,115.860048,G. W. Underwood. Bootmaker,icon_1908
289,-31.94683119,115.8602775,"George Bergstrand, Laundry",icon_1908
184,-31.94963988,115.8592832,George Black. Oyster Saloon,icon_1908
223,-31.94844474,115.8592411,George H Adkins. Ironmonger,icon_1908
225,-31.9483446,115.859377,George H Adkins. Ironmonger,icon_1908
383,-31.94459605,115.861795,George Standley. Bookseller,icon_1908
247,-31.94779455,115.8596969,Gleeson Jno. Hairdresser & Tobacconist,icon_1908
185,-31.9494492,115.8585526,"Goodall & Phillips, Milliners & Dressmakers",icon_1908
274,-31.94753361,115.8605314,Goon Goon Laundry,icon_1908
168,-31.95000265,115.8591271,"Governor Broome Hotel, P A Connolly",icon_1908
170,-31.94991712,115.8590536,"Governor Broome Hotel, P A Connolly",icon_1908
174,-31.94991909,115.8592779,"Governor Broome Hotel, P A Connolly",icon_1908
209,-31.94879218,115.8590149,Great Western Hotel. E. B Porter,icon_1908
286,-31.94713418,115.8607057,Hans Petersen. Electrician.,icon_1908
245,-31.94790057,115.8597413,Harold Martin. Music Warehouse & Piano Tuner,icon_1908
457,-31.94292954,115.8627757,Harry Barber,home
338,-31.94589333,115.8615139,Harry Boice. Butcher,icon_1908
318,-31.94642282,115.8611516,Harry Hatton. Fruitere & Confectioner,icon_1908
366,-31.94532404,115.8618716,Harry Keen; A. E. White,home
189,-31.94923865,115.8586692,Harry T Dermer. Stationer,icon_1908
191,-31.94921084,115.8587564,Harry T Dermer. Stationer,icon_1908
326,-31.94624834,115.8614269,Hay Lee. Laundry,icon_1908
176,-31.94983733,115.859171,"Hedley J Hollway, Tobacconist",icon_1908
235,-31.94832545,115.8596361,Heinrich Schmidt. Lock & Gunsmith,icon_1908
423,-31.94374365,115.8622028,Henry B. Abbott. Contractor,icon_1908
265,-31.9475248,115.8599565,"Henry Cohen, Furniture Dealer",icon_1908
344,-31.94577926,115.8615625,Henry Doyle,home
392,-31.94477952,115.8623938,Henry Jones,home
367,-31.9449641,115.8614045,"Hugh Nolan; Birt Walter, Carrier",icon_1908
285,-31.94699336,115.8604396,Ireland & McNamara. Butchers,icon_1908
194,-31.94941671,115.859287,J Ballantyne. Grocer,icon_1908
196,-31.94943879,115.8594474,J Ballantyne. Grocer,icon_1908
175,-31.94959854,115.8586115,J Loong  & Co. Greengrocers,icon_1908
186,-31.94964478,115.8593823,J Pozzi. Wine Saloon,icon_1908
272,-31.94758571,115.8606067,J Tie Chan. Artist,icon_1908
390,-31.94474722,115.8622209,J. C. Loong. Laundry,icon_1908
262,-31.94769814,115.8603775,J. F Attridge. Coach Painter,icon_1908
296,-31.94697128,115.8608216,J. R. Ward. Masseur,icon_1908
246,-31.94806741,115.860118,Jas Billings,home
