street_number,latitude,longitude,name_and_business,icon
169,-31.949646779999900,115.858579900000000,"Kalaf E, smallgoods dealer",icon_1949
173,-31.949660600000000,115.858735800000000,Oriental Grocery Store,icon_1949
175,-31.949598540000000,115.858611499999000,Popular Drycleaners and Dryers,icon_1949
177,-31.949498060000000,115.858509700000000,"Clifton Hardware Co., hardware dealers",icon_1949
179,-31.949591349999900,115.858779799999000,"Meek Robert, tobacconist",icon_1949
181,-31.949544889999900,115.858679600000000,Kun Ming Cafe restaurant,icon_1949
183,-31.949510539999900,115.858606100000000,"Michael & Co. A, radio dealers",icon_1949
185,-31.949449200000000,115.858552600000000,"Kakulas Bros., grocer",icon_1949
187,-31.949445269999900,115.858714800000000,"Dimanoff Andrea V, fish monger ",icon_1949
188,-31.949512609999900,115.859213400000000,"Washington All Cafe The, rstnt",icon_1949
189,-31.949238650000000,115.858669199999000,Dermer's Newsagency,icon_1949
191,-31.949210839999900,115.858756400000000,"Boxhorn A R, watchmaker and jeweller ",icon_1949
193,-31.949248550000000,115.858964000000000,"Anastasas M, fruitier",icon_1949
195,-31.949201089999900,115.858877100000000,"Franchina C, Furniture mfr",icon_1949
197,-31.949200980000000,115.858961200000000,"Wong Sue, herbalist",icon_1949
199,-31.949209130000000,115.859016999999000,"Marchesi A, welder",icon_1949
200,-31.949243289999900,115.859423699999000,"Symonds Edwin, and plant mchnt",icon_1949
201,-31.949116090000000,115.859095500000000,"Georges & Christo, Mixed Businesses; Symonds Edwin, and plant mchnt",icon_1949
202,-31.949264889999900,115.859625100000000,"Symonds Edwin, and plant mchnt",icon_1949
203,-31.948889200000000,115.859171500000000,"Medd K L, Chemist",icon_1949
205,-31.948807609999900,115.859178800000000,"Scotis N, hairdresser and tobacconist",icon_1949
206,-31.949127180000000,115.859631900000000,Bank of NSW,icon_1949
207,-31.948870260000000,115.859254600000000,"Dean Abdul M, Herbalist",icon_1949
209,-31.948792180000000,115.859014900000000,Great Western Hotel,icon_1949
215,-31.948603660000000,115.859219300000000,"Luisini E, Clothier",icon_1949
217,-31.948647210000000,115.859391100000000,"Luisini E, Clothier",icon_1949
219,-31.948527129999900,115.859342799999000,"Luisini E, Clothier",icon_1949
220,-31.948666270000000,115.859727800000000,"Beckman B, dealer",icon_1949
221,-31.948548880000000,115.859505000000000,"Luisini E, Wine Saloon",icon_1949
223,-31.948444739999900,115.859241100000000,George's Tailoring Co. ,icon_1949
225,-31.948344599999900,115.859376999999000,"Krasnostein J, Hardware Dealer",icon_1949
227,-31.948345610000000,115.859229400000000,"Pethick Leonard, Butcher",icon_1949
229,-31.948443189999900,115.859576399999000,"Clonzas G, Grocer",icon_1949
230,-31.948511669999900,115.859872200000000,"Paramount Film Service, Pty Ltd, film exchange",icon_1949
231,-31.948296549999900,115.859481000000000,"Galvin and Co. R, Plumbers supplies; Rear: Premier Engineering Co., brassfounders",icon_1949
236,-31.948466289999900,115.860124200000000,New Zealand dining restaraunt,icon_1949
237,-31.948151729999900,115.859466400000000,"Papas Nick, Tailors",icon_1949
239,-31.948225000000000,115.859607900000000,"Hassett Richard J, Newsagent",icon_1949
241,-31.948050080000000,115.859487300000000,WA Drycleaners,icon_1949
243,-31.948108040000000,115.859647200000000,"Athanasou M D, Fruitier",icon_1949
245,-31.947900570000000,115.859741300000000,"Enright Mrs A, Wine Saloon",icon_1949
246,-31.948067410000000,115.860118000000000,City Electric Co. elec contractors,icon_1949
